Applications/GitHub Desktop : 2.5.6
Applications/Safari : 16610.2.6.1.6
PrivateFrameworks/ContactsAgent : 490
PrivateFrameworks/ContactsAssistantServices : 481
PrivateFrameworks/ContactsAutocomplete : 14
PrivateFrameworks/ContactsAutocompleteUI : 29
PrivateFrameworks/ContactsDonation : 31
PrivateFrameworks/ContactsDonationFeedback : 31
PrivateFrameworks/ContactsFoundation : 16
PrivateFrameworks/ContactsPersistence : 35
PrivateFrameworks/ContactsUIMacHelper : 19
PrivateFrameworks/ContentKit : 48
PrivateFrameworks/ContextKit : 298
PrivateFrameworks/ContextKitExtraction : 290
PrivateFrameworks/ControlCenter : 39
PrivateFrameworks/ConversationKit : 65
PrivateFrameworks/CoreADI : 297
PrivateFrameworks/CoreAUC : 18
PrivateFrameworks/CoreAVCHD : 4026
PrivateFrameworks/CoreAccessories : 4
PrivateFrameworks/CoreAnalytics : 757
PrivateFrameworks/CoreAppleCVA : 543
PrivateFrameworks/CoreAutoLayout : 270
PrivateFrameworks/CoreBrightness : 294
PrivateFrameworks/CoreCDP : 59
PrivateFrameworks/CoreCDPInternal : 59
PrivateFrameworks/CoreCDPUI : 59
PrivateFrameworks/CoreCapture : 834
PrivateFrameworks/CoreCaptureControl : 834
PrivateFrameworks/CoreCaptureDaemon : 834
PrivateFrameworks/CoreChart : 481
PrivateFrameworks/CoreChineseEngine : 26
PrivateFrameworks/CoreDAV : 284
PrivateFrameworks/CoreDaemon : 660
PrivateFrameworks/CoreDuet : 94
PrivateFrameworks/CoreDuetContext : 94
PrivateFrameworks/CoreDuetDaemonProtocol : 94
PrivateFrameworks/CoreDuetDataModel : 94
PrivateFrameworks/CoreDuetDebugLogging : 94
PrivateFrameworks/CoreDuetStatistics : 94
PrivateFrameworks/CoreDuetSync : 94
PrivateFrameworks/CoreFP : 14
PrivateFrameworks/CoreFollowUp : 62
PrivateFrameworks/CoreFollowUpUI : 62
PrivateFrameworks/CoreHAP : 109
PrivateFrameworks/CoreHandwriting : 646
PrivateFrameworks/CoreHapticsTools : 6531
PrivateFrameworks/CoreJapaneseEngine : 32
PrivateFrameworks/CoreKDL : 897
PrivateFrameworks/CoreKE : 13
PrivateFrameworks/CoreKnowledge : 1607
PrivateFrameworks/CoreLSKD : 15
PrivateFrameworks/CoreLSKDMSE : 785
PrivateFrameworks/CoreLocationProtobuf : 303
PrivateFrameworks/CoreMLTestFramework : 42
PrivateFrameworks/CoreMaterial : 30
PrivateFrameworks/CoreMediaStream : 222
PrivateFrameworks/CoreNLP : 263
PrivateFrameworks/CoreNameParser : 2327
PrivateFrameworks/CoreNavigation : 338
PrivateFrameworks/CoreOptimization : 4276
PrivateFrameworks/CorePDF : 1074
PrivateFrameworks/CoreParsec : 9
PrivateFrameworks/CorePhoneNumbers : 48
PrivateFrameworks/CorePrediction : 4276
PrivateFrameworks/CoreRC : 1153
PrivateFrameworks/CoreRE : 21
PrivateFrameworks/CoreRecents : 30
PrivateFrameworks/CoreRecognition : 180
PrivateFrameworks/CoreRoutine : 335
PrivateFrameworks/CoreSDB : 1235
PrivateFrameworks/CoreSVG : 257
PrivateFrameworks/CoreServicesInternal : 100
PrivateFrameworks/CoreServicesStore : 16
PrivateFrameworks/CoreSpeech : 120
PrivateFrameworks/CoreSuggestions : 15
PrivateFrameworks/CoreSuggestionsInternals : 15
PrivateFrameworks/CoreSuggestionsML : 15
PrivateFrameworks/CoreSuggestionsUI : 15
PrivateFrameworks/CoreSymbolication : 699
PrivateFrameworks/CoreThemeDefinition : 113
PrivateFrameworks/CoreTime : 584
PrivateFrameworks/CoreUARP : 129
PrivateFrameworks/CoreUI : 77
PrivateFrameworks/CoreUtils : 65
PrivateFrameworks/CoreUtilsSwift : 5560
PrivateFrameworks/CoreUtilsUI : 50
PrivateFrameworks/CoreWLANKit : 19
PrivateFrameworks/CoreWiFi : 149
PrivateFrameworks/CryptoKitCBridging : 1137
PrivateFrameworks/CryptoKitPrivate : 1137
PrivateFrameworks/DAAPKit : 1536
PrivateFrameworks/DASDaemon : 48
PrivateFrameworks/DCERPC : 695
PrivateFrameworks/DCIMServices : 222
PrivateFrameworks/DCPDSBLib : 613
PrivateFrameworks/DFRBrightness : 294
PrivateFrameworks/DFRDisplay : 105
PrivateFrameworks/DFRFoundation : 97
PrivateFrameworks/DSExternalDisplay : 763
PrivateFrameworks/DTXConnectionServices : 182
PrivateFrameworks/DVD : 15497
PrivateFrameworks/DataDeliveryServices : 118
PrivateFrameworks/DataDetectors : 186
PrivateFrameworks/DataDetectorsCore : 75
PrivateFrameworks/DataDetectorsNaturalLanguage : 2040
PrivateFrameworks/DebugSymbols : 156
PrivateFrameworks/DesktopServicesPriv : 25
PrivateFrameworks/DeviceCheckInternal : 131
PrivateFrameworks/DeviceIdentity : 13
PrivateFrameworks/DeviceLink : 755
PrivateFrameworks/DeviceManagement : 807
PrivateFrameworks/DeviceToDeviceManager : 13994
PrivateFrameworks/DiagnosticExtensions : 820
PrivateFrameworks/DiagnosticExtensionsDaemon : 735
PrivateFrameworks/DiagnosticLogCollection : 21
PrivateFrameworks/DiagnosticRequest : 70
PrivateFrameworks/DiagnosticRequestService : 90
PrivateFrameworks/DiagnosticsKit : 56
PrivateFrameworks/DialogEngine : 27
PrivateFrameworks/DifferentialPrivacy : 37
PrivateFrameworks/DigitalTouchShared : 21
PrivateFrameworks/DirectoryEditor : 759
PrivateFrameworks/DirectoryServer : 12048
PrivateFrameworks/DiskImages : 5811
PrivateFrameworks/DiskImages2 : 1380
PrivateFrameworks/DiskManagement : 98
PrivateFrameworks/DisplayServices : 923
PrivateFrameworks/DisplayTransportServices : 2814
PrivateFrameworks/DistributedEvaluation : 852
PrivateFrameworks/DocumentCamera : 2774
PrivateFrameworks/DrawingKit : 417
PrivateFrameworks/DuetActivityScheduler : 48
PrivateFrameworks/DuetRecommendation : 94
PrivateFrameworks/DynamicDesktop : 32
PrivateFrameworks/EAFirmwareUpdater : 129
PrivateFrameworks/EAP8021X : 61
PrivateFrameworks/EasyConfig : 65
PrivateFrameworks/EmbeddedAcousticRecognition : 213
PrivateFrameworks/EmbeddedOSInstall : 1041
PrivateFrameworks/EmbeddedOSSupportHost : 633
PrivateFrameworks/EmbeddedSensingProtocols : 746
PrivateFrameworks/EmojiFoundation : 46
PrivateFrameworks/Engram : 21
PrivateFrameworks/Espresso : 33
PrivateFrameworks/ExchangeSync : 61
PrivateFrameworks/ExchangeWebServices : 291
PrivateFrameworks/ExpansionSlotSupport : 10
PrivateFrameworks/ExtensionFoundation : 80
PrivateFrameworks/ExtensionKit : 80
PrivateFrameworks/FMClient : 7298
PrivateFrameworks/FMCore : 206
PrivateFrameworks/FMCoreLite : 210
PrivateFrameworks/FMCoreUI : 115
PrivateFrameworks/FMF : 1505
PrivateFrameworks/FMFCore : 163
PrivateFrameworks/FMFUI : 1505
PrivateFrameworks/FMIPCore : 163
PrivateFrameworks/FMNetworking : 2
PrivateFrameworks/FTAWD : 21
PrivateFrameworks/FTClientServices : 19
PrivateFrameworks/FTServices : 19
PrivateFrameworks/FWAVC : 180
PrivateFrameworks/FaceCore : 316
PrivateFrameworks/FamilyCircle : 15
PrivateFrameworks/FamilyCircleUI : 15
PrivateFrameworks/FamilyControls : 391
PrivateFrameworks/FamilyNotification : 15
PrivateFrameworks/FeatureFlags : 146
PrivateFrameworks/FeatureFlagsSupport : 146
PrivateFrameworks/FeedbackLogger : 581
PrivateFrameworks/FileProvider : 16
PrivateFrameworks/FileProviderDaemon : 17
PrivateFrameworks/FilesActionsUI : 500
PrivateFrameworks/FindMyDevice : 861
PrivateFrameworks/FindMyDeviceUI : 510
PrivateFrameworks/FindMyMac : 631
PrivateFrameworks/FinderKit : 17
PrivateFrameworks/FinderSyncPriv : 18
PrivateFrameworks/FlightUtilities : 40
PrivateFrameworks/FlightUtilitiesCore : 40
PrivateFrameworks/FolderActionsKit : 291
PrivateFrameworks/FontServices : 302
PrivateFrameworks/FoundInAppsPlugins : 38
PrivateFrameworks/FoundationODR : 9
PrivateFrameworks/FrontBoardServices : 27
PrivateFrameworks/FuseBoard : 19
PrivateFrameworks/FuseBoardServices : 27
PrivateFrameworks/FusionPluginKit : 172
PrivateFrameworks/FusionPluginServices : 172
PrivateFrameworks/Futhark : 1234
PrivateFrameworks/GPUInfo : 59
PrivateFrameworks/GPURawCounter : 1837
PrivateFrameworks/GPUSupport : 5
PrivateFrameworks/GPUWrangler : 7
PrivateFrameworks/GameCenterFoundation : 100
PrivateFrameworks/GameCenterUI : 100
PrivateFrameworks/GameCenterUICore : 100
PrivateFrameworks/GameKitServices : 57
PrivateFrameworks/GenerationalStorage : 1872
PrivateFrameworks/GeoKit : 78
PrivateFrameworks/GeoServices : 37
PrivateFrameworks/Geode : 222
PrivateFrameworks/GraphKit : 13948
PrivateFrameworks/GraphVisualizer : 5033
PrivateFrameworks/GraphicsServices : 3867
