Applications/AltTab : 2.3.4
PrivateFrameworks/HIDAnalytics : 6
PrivateFrameworks/HIDDisplay : 6
PrivateFrameworks/HMFoundation : 205
PrivateFrameworks/HTTPServer : 1633
PrivateFrameworks/HearingCore : 50
PrivateFrameworks/HearingUtilities : 50
PrivateFrameworks/HeimODAdmin : 165
PrivateFrameworks/Heimdal : 559
PrivateFrameworks/Helium : 1080
PrivateFrameworks/HelloWorldMacHelper : 9
PrivateFrameworks/HelpData : 1339
PrivateFrameworks/HomeAI : 111
PrivateFrameworks/HomeKit : 31
PrivateFrameworks/HomeKitBackingStore : 31
PrivateFrameworks/HomeKitDaemon : 31
PrivateFrameworks/IAP : 332
PrivateFrameworks/IDSHashPersistence : 67
PrivateFrameworks/IDSKVStore : 67
PrivateFrameworks/IMAP : 10
PrivateFrameworks/IMAVCore : 10001
PrivateFrameworks/IMAssistantCore : 24
PrivateFrameworks/IMCore : 24
PrivateFrameworks/IMDMessageServices : 24
PrivateFrameworks/IMDPersistence : 24
PrivateFrameworks/IMDaemonCore : 24
PrivateFrameworks/IMFoundation : 196
PrivateFrameworks/IMSharedUI : 412
PrivateFrameworks/IMSharedUtilities : 24
PrivateFrameworks/IMTranscoderAgent : 24
PrivateFrameworks/IMTranscoding : 24
PrivateFrameworks/IMTransferAgent : 24
PrivateFrameworks/IMTransferServices : 196
PrivateFrameworks/IOAccelMemoryInfo : 12
PrivateFrameworks/IOAccelerator : 12
PrivateFrameworks/IOImageLoader : 772
PrivateFrameworks/IOKitten : 3162
PrivateFrameworks/IOPlatformPluginFamily : 21
PrivateFrameworks/IOPresentment : 3
PrivateFrameworks/ISSupport : 10905
PrivateFrameworks/IconServices : 293
PrivateFrameworks/IdleTimerServices : 7922
PrivateFrameworks/IncomingCallFilter : 1088
PrivateFrameworks/InertiaCam : 292
PrivateFrameworks/InputContext : 7594
PrivateFrameworks/InputTranscoder : 1529
PrivateFrameworks/Install : 274
PrivateFrameworks/InstallerDiagnostics : 1455
PrivateFrameworks/Intents : 26
PrivateFrameworks/IntentsCore : 26
PrivateFrameworks/IntentsFoundation : 26
PrivateFrameworks/IntentsServices : 26
PrivateFrameworks/InternationalSupport : 448
PrivateFrameworks/InternationalTextSearch : 3633
PrivateFrameworks/InternetAccounts : 1248
PrivateFrameworks/IntlPreferences : 770
PrivateFrameworks/JavaApplicationLauncher : 1702
PrivateFrameworks/JavaLaunching : 1597
PrivateFrameworks/JavaScriptAppleEvents : 25
PrivateFrameworks/JavaScriptOSA : 2820
PrivateFrameworks/Jet : 3371
PrivateFrameworks/JetEngine : 604
PrivateFrameworks/JetUI : 602
PrivateFrameworks/KerberosHelper : 2962
PrivateFrameworks/KeyboardServices : 141
PrivateFrameworks/KeychainCircle : 70
PrivateFrameworks/KnowledgeGraphKit : 20
PrivateFrameworks/KnowledgeMonitor : 27
PrivateFrameworks/LanguageModeling : 1316
PrivateFrameworks/Lexicon : 5131
PrivateFrameworks/LibraryRepair : 1446
PrivateFrameworks/LimitAdTracking : 331
PrivateFrameworks/LinguisticData : 33
PrivateFrameworks/LinkPresentation : 233
PrivateFrameworks/LocalAuthenticationRecoveryUI : 53
PrivateFrameworks/LocalAuthenticationUI : 53
PrivateFrameworks/LocationSupport : 42
PrivateFrameworks/LockoutUI : 3037
PrivateFrameworks/LoggingSupport : 68
PrivateFrameworks/LoginUIKit : 170
PrivateFrameworks/Lookup : 1002
PrivateFrameworks/MDSChannel : 2739
PrivateFrameworks/MFAAuthentication : 16
PrivateFrameworks/MFiAuthentication : 332
PrivateFrameworks/MLFoundation : 517
PrivateFrameworks/MMCS : 259
PrivateFrameworks/MMCSServices : 24
PrivateFrameworks/MTLCompiler : 17
PrivateFrameworks/MTLSimImplementation : 17
PrivateFrameworks/MachineSettings : 5395
PrivateFrameworks/Mail : 10
PrivateFrameworks/MailCore : 10
PrivateFrameworks/MailService : 10
PrivateFrameworks/MailSupport : 11
PrivateFrameworks/MailUI : 10
PrivateFrameworks/MailWebProcessSupport : 11
PrivateFrameworks/MallocStackLogging : 1035
PrivateFrameworks/ManagedClient : 14
PrivateFrameworks/Mangrove : 1027
PrivateFrameworks/MapsSuggestions : 47
PrivateFrameworks/MapsSupport : 47
PrivateFrameworks/Marco : 196
PrivateFrameworks/MarkupUI : 185
PrivateFrameworks/MediaControlSender : 22
