Applications/DB Browser for SQLite : 3.10.1
Applications/Discord : 0.0.255
PrivateFrameworks/PowerlogCore : 11
PrivateFrameworks/PowerlogDatabaseReader : 11
PrivateFrameworks/PowerlogLiteOperators : 10
PrivateFrameworks/PreferencePanesSupport : 8
PrivateFrameworks/PrintingPrivate : 8
PrivateFrameworks/ProVideo : 208
PrivateFrameworks/ProactiveEventTracker : 93
PrivateFrameworks/ProactiveExperiments : 8
PrivateFrameworks/ProactiveExperimentsInternals : 8
PrivateFrameworks/ProactiveML : 8
PrivateFrameworks/ProactiveSupport : 93
PrivateFrameworks/ProactiveSupportStubs : 93
PrivateFrameworks/ProofReader : 24
PrivateFrameworks/ProtectedCloudStorage : 100
PrivateFrameworks/ProtocolBuffer : 3
PrivateFrameworks/QuickLookIosmac : 3
PrivateFrameworks/QuickLookNonBaseSystem : 3
PrivateFrameworks/QuickLookSupport : 10
PrivateFrameworks/QuickLookThumbnailing : 10
PrivateFrameworks/QuickLookUIIosmac : 3
PrivateFrameworks/ROCKit : 2435
PrivateFrameworks/RTCReporting : 77
PrivateFrameworks/RTTUI : 22
PrivateFrameworks/RTTUtilities : 22
PrivateFrameworks/Rapport : 32
PrivateFrameworks/RapportUI : 32
PrivateFrameworks/ReminderKit : 24
PrivateFrameworks/ReminderKitUI : 24
PrivateFrameworks/ReminderMigration : 19
PrivateFrameworks/RemoteServiceDiscovery : 19
PrivateFrameworks/RemoteXPC : 19
PrivateFrameworks/RenderBox : 308
PrivateFrameworks/ReplayKitMacHelper : 8
PrivateFrameworks/ResponseKit : 6
PrivateFrameworks/RunningBoard : 6
PrivateFrameworks/RunningBoardServices : 6
PrivateFrameworks/SAObjects : 22
PrivateFrameworks/SDAPI : 2350
PrivateFrameworks/SMBClient : 5
PrivateFrameworks/SPFinder : 20
PrivateFrameworks/SPOwner : 20
PrivateFrameworks/SPShared : 20
PrivateFrameworks/Safari : 8
PrivateFrameworks/SafariCore : 26
PrivateFrameworks/SafariFoundation : 26
PrivateFrameworks/SafariPlatformSupport : 8
PrivateFrameworks/SafariSafeBrowsing : 13
PrivateFrameworks/SafariShared : 26
PrivateFrameworks/ScreenReader : 8
PrivateFrameworks/ScreenReaderCore : 8
PrivateFrameworks/ScreenSharing : 8
PrivateFrameworks/ScreenTimeCore : 31
PrivateFrameworks/ScreenTimeServiceUI : 29
PrivateFrameworks/ScreenTimeUI : 29
PrivateFrameworks/SearchUI : 24
PrivateFrameworks/SearchUICardKitProviderSupport : 5
PrivateFrameworks/SecurityTokend : 2317
PrivateFrameworks/Seeding : 239
PrivateFrameworks/SetupAssistantFramework : 45
PrivateFrameworks/SetupAssistantSupport : 788
PrivateFrameworks/ShareKit : 8
PrivateFrameworks/ShareServicesCore : 1
PrivateFrameworks/ShareSheet : 11
PrivateFrameworks/SharedWebCredentials : 17
PrivateFrameworks/Sharing : 36
PrivateFrameworks/SharingXPCServices : 36
PrivateFrameworks/SidecarCore : 12
PrivateFrameworks/SidecarUI : 12
PrivateFrameworks/SignpostCollection : 958
PrivateFrameworks/SignpostMetrics : 958
PrivateFrameworks/SignpostNotification : 218
PrivateFrameworks/SignpostSupport : 958
PrivateFrameworks/SiriClientFlow : 20
PrivateFrameworks/SiriCore : 31
PrivateFrameworks/SiriFoundation : 5
PrivateFrameworks/SiriInstrumentation : 33
PrivateFrameworks/SiriTTS : 3
PrivateFrameworks/SiriTasks : 33
PrivateFrameworks/SiriUI : 5
PrivateFrameworks/SiriVOX : 31
PrivateFrameworks/SkyLight : 7
PrivateFrameworks/SocialAppsCore : 119
PrivateFrameworks/SocialServices : 35
PrivateFrameworks/SocialUI : 119
PrivateFrameworks/SoftwareUpdate : 12
PrivateFrameworks/SpanMatcher : 31
PrivateFrameworks/SpeechDictionary : 1346
PrivateFrameworks/SpeechObjects : 5
PrivateFrameworks/SpeechRecognitionCommandServices : 10
PrivateFrameworks/SpeechRecognitionCore : 17
PrivateFrameworks/Spotlight : 1
PrivateFrameworks/SpotlightIndex : 1
PrivateFrameworks/SpotlightServerKit : 1
PrivateFrameworks/SpotlightServices : 1
PrivateFrameworks/StatsKit : 4244
PrivateFrameworks/StorageKit : 34
