Applications/Discord : 0.0.260
PrivateFrameworks/IOKitten : 3301
PrivateFrameworks/IOPlatformPluginFamily : 1666
PrivateFrameworks/IOPresentment : 217
PrivateFrameworks/IOSurfaceAccelerator : 1191
PrivateFrameworks/ISSupport : 12435
PrivateFrameworks/IconFoundation : 56
PrivateFrameworks/IconServices : 56
PrivateFrameworks/IdleTimerServices : 1947
PrivateFrameworks/InAppMessages : 285
PrivateFrameworks/InAppMessagesCore : 801
PrivateFrameworks/IncomingCallFilter : 5056
PrivateFrameworks/InertiaCam : 626
PrivateFrameworks/InputContext : 1819
PrivateFrameworks/InputTranscoder : 2263
PrivateFrameworks/Install : 394
PrivateFrameworks/InstallCoordination : 32
PrivateFrameworks/InstallerDiagnostics : 2970
PrivateFrameworks/IntentsCore : 75
PrivateFrameworks/IntentsFoundation : 75
PrivateFrameworks/IntentsServices : 75
PrivateFrameworks/InternalSwiftProtobuf : 839
PrivateFrameworks/InternationalSupport : 473
PrivateFrameworks/InternationalTextSearch : 2181
PrivateFrameworks/InternetAccounts : 1278
PrivateFrameworks/IntlPreferences : 81
PrivateFrameworks/JavaLaunching : 531
PrivateFrameworks/JavaScriptAppleEvents : 1493
PrivateFrameworks/JavaScriptOSA : 850
PrivateFrameworks/Jet : 764
PrivateFrameworks/JetUI : 143
PrivateFrameworks/KerberosHelper : 4540
PrivateFrameworks/KeyboardServices : 2073
PrivateFrameworks/KeychainCircle : 55
PrivateFrameworks/KnowledgeMonitor : 709
PrivateFrameworks/LanguageModeling : 363
PrivateFrameworks/Lexicon : 876
PrivateFrameworks/LibraryRepair : 3078
PrivateFrameworks/LimitAdTracking : 95
PrivateFrameworks/LinguisticData : 227
PrivateFrameworks/LinkPresentation : 217
PrivateFrameworks/LocalAuthenticationRecoveryUI : 43
PrivateFrameworks/LocalAuthenticationUI : 43
PrivateFrameworks/LocationSupport : 68
PrivateFrameworks/LockoutUI : 6582
PrivateFrameworks/LoggingSupport : 85
PrivateFrameworks/Lookup : 299
PrivateFrameworks/MDSChannel : 4285
PrivateFrameworks/MFAAuthentication : 171
PrivateFrameworks/MFiAuthentication : 2818
PrivateFrameworks/MMCS : 1519
PrivateFrameworks/MSUDataAccessor : 44
PrivateFrameworks/MTLCompiler : 14
PrivateFrameworks/MTLSimImplementation : 14
PrivateFrameworks/MachineSettings : 6924
PrivateFrameworks/MallocStackLogging : 212
PrivateFrameworks/ManagedClient : 180
PrivateFrameworks/Mangrove : 2553
PrivateFrameworks/MapsSuggestions : 12
PrivateFrameworks/MapsSupport : 12
PrivateFrameworks/MapsSync : 156
PrivateFrameworks/Marco : 960
PrivateFrameworks/MarkupUI : 421
PrivateFrameworks/MediaControlSender : 130
PrivateFrameworks/MediaFoundation : 9
PrivateFrameworks/MediaKit : 1319
PrivateFrameworks/Memories : 2612
PrivateFrameworks/MessageProtection : 1395
PrivateFrameworks/MessageSecurity : 1143
PrivateFrameworks/MessagesBlastDoorSupport : 626
PrivateFrameworks/MetalSerializer : 14
PrivateFrameworks/MetalTools : 14
PrivateFrameworks/MetricKitCore : 3153
PrivateFrameworks/MetricKitServices : 3153
PrivateFrameworks/MetricKitSource : 3153
PrivateFrameworks/MetricMeasurement : 3153
PrivateFrameworks/MiniSoftwareUpdate : 634
PrivateFrameworks/MobileAccessoryUpdater : 92
PrivateFrameworks/MobileActivationMacOS : 50
PrivateFrameworks/MobileAsset : 333
